Context,Item_Rating_Pair
active,"(263,5);(732,4);(679,4);(677,4);(683,4);(252,5);(297,5);(295,5);(276,5);(258,5);(259,5);(722,4);(285,4);(761,5);(743,4);(284,4);(283,5);(725,4);(753,4);(265,4);(296,5);(704,4);(284,4);(717,5)"
urban,"(715,4);(695,4);(251,4);(294,4);(250,4);(276,5);(273,5);(283,5);(725,4);(266,5);(686,5);(724,4);(694,4);(676,4);(282,5);(682,5);(718,5);(288,4)"
mountains,"(294,4);(286,4);(266,4);(261,4);(260,4);(750,5);(273,4);(689,5);(283,5);(260,5);(276,5);(252,5);(273,5);(276,5);(283,5);(281,4);(730,5);(251,5);(283,4);(259,4);(747,5);(699,4);(702,4);(705,4);(725,4);(292,4);(286,4);(287,5);(707,5);(743,5);(758,4);(678,5);(261,4);(295,4);(684,5)"
country side,"(267,4);(753,4);(249,4);(689,4);(291,4);(250,4);(252,4);(288,5);(293,5);(296,5);(276,5);(683,4);(736,5);(692,4);(719,5);(755,4);(689,5);(727,4);(722,4);(251,4)"
coast line,"(694,4);(263,5);(746,4);(267,4);(289,4);(276,4);(274,5);(262,5);(275,4);(742,4);(259,5);(288,5);(273,5);(276,5);(254,4);(734,5);(692,4);(699,5);(682,4);(251,5);(291,4);(762,5);(681,4);(712,5);(687,4);(727,4);(705,4);(681,5);(689,4);(755,5);(698,5);(291,4);(283,4);(721,5);(703,4);(290,5);(717,5)"
relaxed driving,"(259,4);(677,4);(263,4);(291,5);(708,4);(679,4);(739,4);(675,4);(689,4);(749,4);(263,4);(752,5);(757,5);(285,5);(686,5);(685,4);(274,5);(288,5);(720,5);(266,4);(275,5);(747,4);(261,5);(712,4);(264,4);(267,5);(683,4);(274,5);(283,5);(290,5);(699,4);(674,4);(273,5);(760,4);(736,5);(675,5);(705,4);(719,4);(706,4);(716,4);(724,5);(295,5);(700,5);(758,4);(678,5);(751,4);(678,4)"
free road,"(263,5);(676,4);(754,4);(266,5);(248,4);(760,4);(683,5);(266,5);(689,5);(274,4);(286,5);(720,4);(254,4);(259,4);(250,4);(264,4);(722,5);(248,5);(296,5);(254,5);(759,4);(260,5);(257,5);(719,4);(252,5);(254,5);(250,5);(250,5);(718,5);(294,5);(682,5);(703,5);(295,5);(758,4);(708,5);(710,4);(736,5);(249,5);(685,4);(703,4);(254,4);(699,4)"
serpentine,"(287,5);(262,4);(273,5);(703,4);(274,4);(729,4);(677,5);(290,4);(700,4);(262,5);(275,5);(259,5);(276,5);(250,5);(713,5);(686,5);(762,5);(687,5);(754,4);(295,5);(255,5);(291,4);(287,4);(700,5);(283,4);(682,4);(675,4);(746,5);(677,5);(719,4)"
highway,"(745,5);(295,4);(264,4);(273,5);(754,4);(263,4);(250,4);(277,4);(676,4);(281,4);(258,4);(283,4);(268,4);(294,5);(757,5);(248,5);(264,5);(252,5);(249,5);(297,5);(257,5);(261,5);(258,4);(259,5);(278,5);(750,5);(680,4);(286,5);(295,5);(760,5);(249,4);(267,5);(255,4);(295,5);(722,5);(720,5);(281,5);(682,4);(746,5);(678,5);(265,5)"
day time,"(760,4);(283,4);(700,4);(293,5);(748,4);(297,5);(257,5);(296,5);(730,4);(294,5);(278,4);(696,5);(684,4);(742,5);(761,5);(676,4)"
afternoon,"(287,5);(291,4);(286,4);(269,4);(266,4);(719,4);(290,4);(253,5);(255,5);(716,4);(676,4);(692,5);(744,5);(253,4);(747,5);(736,4);(712,5);(282,4);(253,4);(692,4);(255,4);(254,4);(265,5)"
happy,"(263,5);(293,4);(746,4);(254,5);(248,4);(290,5);(689,5);(687,4);(684,5);(294,5);(748,4);(688,4);(699,5);(743,4);(696,5);(713,5);(262,5);(728,5);(704,4);(707,4);(712,5);(251,4);(747,5);(248,4);(723,4);(703,5);(289,5);(746,4);(700,4)"
sport driving,"(745,4);(683,4);(726,4);(760,5);(707,4);(676,4);(741,4);(263,4);(689,4);(760,4);(687,4);(676,4);(267,4);(713,4);(286,4);(742,5);(705,5);(700,4);(704,5);(258,4);(289,5);(273,5);(292,4);(294,5);(295,5);(263,5);(267,5);(293,5);(291,4);(294,5);(714,5);(743,4);(741,4);(710,4);(703,5);(272,4);(684,4);(732,5);(728,5);(682,5);(754,4);(266,4);(751,4);(688,4);(699,4);(284,4);(692,5);(678,5);(710,5)"
